,MapNumber,Score,matchedTittle,movieTittle
1,10251,95,The Lover,The LoversåÊ
3,6339,100,Miami Vice,Miami ViceåÊ            
4,3400,94,Harry Potter and the Deathly Hallows Part 2,Harry Potter and the Deathly Hallows: Part IIåÊ
6,3400,95,Harry Potter and the Deathly Hallows Part 2,Harry Potter and the Deathly Hallows: Part IåÊ
8,4045,100,The A-Team,The A-TeamåÊ            
9,5089,100,"10,000 B.C.","10,000 B.C.åÊ            "
11,12887,100,Hannibal,HannibalåÊ            
13,8117,100,Creepshow,CreepshowåÊ
14,13737,100,Daredevil,DaredevilåÊ            
15,6944,100,Bewitched,BewitchedåÊ            
16,551,100,Evolution,EvolutionåÊ
18,6933,100,Constantine,ConstantineåÊ            
19,12153,100,Life,LifeåÊ            
20,12137,100,Sleepy Hollow,Sleepy HollowåÊ            
21,11256,100,Last Man Standing,Last Man StandingåÊ            
23,13806,100,The Missing,The MissingåÊ            
24,12540,100,Rules of Engagement,Rules of EngagementåÊ            
28,5069,100,Sex and the City,Sex and the CityåÊ            
29,13722,100,Anger Management,Anger ManagementåÊ            
35,7446,100,Twisted,TwistedåÊ            
36,5158,100,Defiance,DefianceåÊ            
37,4827,100,Outlander,OutlanderåÊ            
39,8093,100,First Blood,First BloodåÊ
40,13355,100,Solaris,SolarisåÊ
41,8176,100,Inchon,InchonåÊ
42,6954,100,"Yours, Mine and Ours","Yours, Mine and OursåÊ"
45,11624,100,McHale's Navy,McHale's NavyåÊ            
47,7971,100,Arthur,ArthuråÊ            
53,11787,100,Rush Hour,Rush HouråÊ            
56,7874,100,Flash Gordon,Flash GordonåÊ
57,12970,100,Heist,HeiståÊ
58,12616,100,Bait,BaitåÊ
59,8255,100,Krull,KrullåÊ
60,13863,100,Luther,LutheråÊ            
65,7980,100,Reds,RedsåÊ
68,7399,100,Friday Night Lights,Friday Night LightsåÊ            
69,9375,100,The Family,The FamilyåÊ            
70,811,100,Entourage,EntourageåÊ            
71,13388,100,Trapped,TrappedåÊ            
76,1432,100,United Passions,United PassionsåÊ
80,30,100,Sausage Party,Sausage PartyåÊ
81,10917,100,12 Monkeys,12 MonkeysåÊ            
82,13351,100,Confessions of a Dangerous Mind,Confessions of a Dangerous MindåÊ
83,92,100,Florence Foster Jenkins,Florence Foster JenkinsåÊ
86,3441,100,Limitless,LimitlessåÊ            
87,8429,100,The Neverending Story,The NeverEnding StoryåÊ
88,7039,100,The Honeymooners,The HoneymoonersåÊ            
89,8617,100,Return to Oz,Return to OzåÊ
98,8614,100,Lifeforce,LifeforceåÊ
101,8479,100,Sheena,SheenaåÊ
102,14085,100,Carnage,CarnageåÊ
110,5589,100,Rogue,RogueåÊ            
112,8092,100,Gandhi,GandhiåÊ
114,2491,100,Underdogs,UnderdogsåÊ
115,12199,100,The Bachelor,The BacheloråÊ            
121,8591,100,Ladyhawke,LadyhawkeåÊ
122,4652,100,Fired Up,Fired UpåÊ            
130,9978,100,Shattered,ShatteredåÊ
134,158,100,Hands of Stone,Hands of StoneåÊ
137,7865,100,The Shining,The ShiningåÊ
139,5773,100,Gone Baby Gone,"Gone, Baby, GoneåÊ            "
140,11916,100,Firestorm,FirestormåÊ
145,8027,100,Blow Out,Blow OutåÊ
146,11337,100,Unforgettable,UnforgettableåÊ            
147,11042,100,Restoration,RestorationåÊ
148,4796,100,The Informers,The InformersåÊ
150,8658,100,Day of the Dead,Day of the DeadåÊ
153,8648,100,Red Sonja,Red SonjaåÊ
154,7591,100,Red Lights,Red LightsåÊ
155,1899,100,Wolves,WolvesåÊ
160,5741,100,The Messengers,The MessengersåÊ            
171,8249,100,The Dead Zone,The Dead ZoneåÊ            
172,12253,100,The Love Letter,The Love LetteråÊ
173,13896,100,The Company,The CompanyåÊ            
176,2412,100,Winnie Mandela,Winnie MandelaåÊ
178,2723,100,Khumba,KhumbaåÊ
183,13223,100,Pandaemonium,PandaemoniumåÊ
187,8093,100,First Blood,First BloodåÊ
193,8166,100,The Border,The BorderåÊ            
195,8118,100,Quest for Fire,Quest for FireåÊ
197,8159,100,Cat People,Cat PeopleåÊ
203,8025,100,The Postman Always Rings Twice,The Postman Always Rings TwiceåÊ
204,8051,100,The Pursuit of D.B. Cooper,The Pursuit of D.B. CooperåÊ
