,Aboriginal,Arabic,Aramaic,Bosnian,Cantonese,Chinese,Czech,Danish,Dari,Dutch,Dzongkha,English,Filipino,French,German,Greek,Hebrew,Hindi,Hungarian,Icelandic,Indonesian,Italian,Japanese,Kannada,Kazakh,Korean,Mandarin,Maya,Mongolian,None,Norwegian,Panjabi,Persian,Polish,Portuguese,Romanian,Russian,Slovenian,Spanish,Swahili,Swedish,Tamil,Telugu,Thai,Urdu,Vietnamese,Zulu,Afghanistan,Argentina,Aruba,Australia,Bahamas,Belgium,Brazil,Bulgaria,Cameroon,Canada,Chile,China,Colombia,Czech Republic,Denmark,Egypt,Finland,France,Georgia,Germany,Greece,Hong Kong,Hungary,Iceland,India,Indonesia,Iran,Ireland,Israel,Italy,Japan,Kenya,Libya,Mexico,Netherlands,New Line,New Zealand,Nigeria,Norway,Official site,Pakistan,Panama,Peru,Philippines,Poland,Romania,Russia,Slovenia,South Africa,South Korea,Soviet Union,Spain,Sweden,Switzerland,Taiwan,Thailand,UK,USA,United Arab Emirates,West Germany,Approved,G,GP,M,NC-17,Not Rated,PG,PG-13,Passed,R,Unrated,X,Black and White,Color,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,News,Romance,Sci-Fi,Short,Sport,Thriller,War,Western,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_1_facebook_likes,num_voted_users,cast_total_facebook_likes,facenumber_in_poster,num_user_for_reviews,title_year,actor_2_facebook_likes,aspect_ratio,movie_facebook_likes,budget_clean2,movie_title,plot_keywords,movie_imdb_link,budget,imdb_score,movie_title_clean,gross_clean_s12,log_gross_clean,log_budget_clean,director_name,actor_2_name,actor_1_name,actor_3_name
4299,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,238,95,243,725,969,30160,3833,0,193,2009,962,1.85,0,900000,The House of the Devil?,cult film|eclipse|haunted house|lunar eclipse|secret,http://www.imdb.com/title/tt1172994/?ref_=fn_tt_tt_1,900000.0,6.4,The House of the Devil,100659,11.519503780330352,13.710151153416941,Ti West,Greta Gerwig,Lena Dunham,Dee Wallace
3964,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,99,120,11,645,16,71321,16,0,230,1940,0,1.37,3000,2280000,Fantasia?,apprentice|classical music|disney|mouse|orchestra,http://www.imdb.com/title/tt0032455/?ref_=fn_tt_tt_1,2280000.0,7.8,Fantasia,76400000,18.151493267225753,14.639686439527019,James Algar,Deems Taylor,Leopold Stokowski,
643,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,94,121,212,263,394,60508,1531,2,285,1996,380,2.35,4000,65000000,The Long Kiss Goodnight?,amnesia|chase|foot chase|strong female character|vomiting,http://www.imdb.com/title/tt0116908/?ref_=fn_tt_tt_1,65000000.0,6.7,The Long Kiss Goodnight,33328051,17.321910002731315,17.989897843244528,Renny Harlin,Craig Bierko,Melina Kanakaredes,Yvonne Zima
3235,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,160,102,341,15,844,35065,1389,0,288,2003,521,1.85,0,7800000,Swimming Pool?,luberon|mystery writer|night|publisher|swimming,http://www.imdb.com/title/tt0324133/?ref_=fn_tt_tt_1,,6.8,Swimming Pool,10105505,16.128590981786868,15.86963441986494,Fran?ois Ozon,Ludivine Sagnier,Charlotte Rampling,Jean-Claude Lecas
3939,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,34,19,362,882,97,1967,0,2,1990,577,2.1241717514125975,16,34000,Marilyn Hotchkiss' Ballroom Dancing and Charm School?,student film|wonder years,http://www.imdb.com/title/tt0283465/?ref_=fn_tt_tt_1,34000.0,7.1,Marilyn Hotchkiss' Ballroom Dancing and Charm School,333658,12.717874792342295,10.434145214930487,Randall Miller,Elden Henson,William Hurt,Michael Bower
697,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,96,170,0,380,19000,32353,20683,0,263,1998,1000,1.85,0,60000000,The Horse Whisperer?,grace|groom|horse|montana|western u.s.,http://www.imdb.com/title/tt0119314/?ref_=fn_tt_tt_1,60000000.0,6.5,The Horse Whisperer,75370763,18.137930012427425,17.909855136853043,Robert Redford,Kristin Scott Thomas,Scarlett Johansson,Jessalyn Gilsig
2761,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,78,293,567,759,216486,2462,1,242,1994,595,1.85,0,12000000,Ace Ventura: Pet Detective?,detective|dolphin|mascot|nudity|stupidity,http://www.imdb.com/title/tt0109040/?ref_=fn_tt_tt_1,12000000.0,6.9,Ace Ventura: Pet Detective,72217000,18.095186047058256,16.300417291085605,Tom Shadyac,Udo Kier,Sean Young,David Margulies
1795,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,44,93,8,558,22000,16193,24154,1,57,2015,1000,2.35,0,19000000,Heist?,bus|die hard scenario,http://www.imdb.com/title/tt3276924/?ref_=fn_tt_tt_1,19000000.0,6.1,Heist,23510841,16.972972234421928,16.759949589762293,Scott Mann,Joshua Mikel,Robert De Niro,D.B. Sweeney
2279,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,99,42,557,975,18727,3567,2,45,2011,569,2.35,0,21000000,Diary of a Wimpy Kid: Rodrick Rules?,brother|middle school|no opening credits|photograph|school,http://www.imdb.com/title/tt1650043/?ref_=fn_tt_tt_1,21000000.0,6.6,Diary of a Wimpy Kid: Rodrick Rules,52691009,17.77995541072447,16.860033043306743,David Bowers,Rachael Harris,Zachary Gordon,Fran Kranz
3050,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,128,11,553,665,465,4579,0,3,2010,664,2.35,503,10000000,Blood Done Sign My Name?,based on autobiography|based on novel|based on true story|murder|racism,http://www.imdb.com/title/tt1210039/?ref_=fn_tt_tt_1,,6.7,Blood Done Sign My Name,82739,11.323458440015402,16.118095750958314,Jeb Stuart,Nate Parker,Ricky Schroder,Lee Norris
