,color,director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,genres,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,movie_imdb_link,num_user_for_reviews,language,country,content_rating,budget,title_year,actor_2_facebook_likes,aspect_ratio,movie_facebook_likes,movie_title_clean,budget_clean,logGross,logBudget,Aboriginal,Arabic,Aramaic,Bosnian,Cantonese,Chinese,Czech,Danish,Dari,Dutch,Dzongkha,English,Filipino,French,German,Greek,Hebrew,Hindi,Hungarian,Icelandic,Indonesian,Italian,Japanese,Kannada,Kazakh,Korean,Mandarin,Maya,Mongolian,None,Norwegian,Panjabi,Persian,Polish,Portuguese,Romanian,Russian,Slovenian,Spanish,Swahili,Swedish,Tamil,Telugu,Thai,Urdu,Vietnamese,Zulu,Afghanistan,Argentina,Aruba,Australia,Bahamas,Belgium,Brazil,Bulgaria,Cameroon,Canada,Chile,China,Colombia,Czech Republic,Denmark,Egypt,Finland,France,Georgia,Germany,Greece,Hong Kong,Hungary,Iceland,India,Indonesia,Iran,Ireland,Israel,Italy,Japan,Kenya,Libya,Mexico,Netherlands,New Line,New Zealand,Nigeria,Norway,Official site,Pakistan,Panama,Peru,Philippines,Poland,Romania,Russia,Slovenia,South Africa,South Korea,Soviet Union,Spain,Sweden,Switzerland,Taiwan,Thailand,UK,USA,United Arab Emirates,West Germany,Approved,G,GP,M,NC-17,Not Rated,PG,PG-13,Passed,R,Unrated,X,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,News,Romance,Sci-Fi,Short,Sport,Thriller,War,Western
3818,Color,David Lean,122.0,161.0,767,87.0,Sessue Hayakawa,682.0,27200000.0,Adventure|Drama|War,William Holden,The Bridge on the River Kwai?,149444,1035,Jack Hawkins,2.0,allies|bridge|construction|jungle|sabotage,http://www.imdb.com/title/tt0050212/?ref_=fn_tt_tt_1,273.0,English,UK,PG,3000000.0,1957.0,119.0,2.35,0,The Bridge on the River Kwai,3000000.0,7.434568904,6.477121255,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4409,Color,Jon Gunn,15.0,106.0,16,254.0,David A.R. White,602.0,171988.0,Action|Crime|Drama,Stacy Keach,Mercy Streets?,448,1281,Cynthia Watros,1.0,church|cigarette smoking|deacon|twin brother|twins,http://www.imdb.com/title/tt0243415/?ref_=fn_tt_tt_1,16.0,English,USA,PG-13,600000.0,2000.0,266.0,1.85,12,Mercy Streets,600000.0,5.235498146,5.77815125,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,Color,Camille Delamarre,148.0,96.0,11,150.0,No?mie Lenoir,805.0,16027866.0,Action|Crime|Thriller,Ed Skrein,The Transporter Refueled?,26767,1411,Radivoje Bukvic,0.0,airfield|car|car stunt|driver|private jet,http://www.imdb.com/title/tt2938956/?ref_=fn_tt_tt_1,121.0,English,France,PG-13,25000000.0,2015.0,173.0,2.35,0,The Transporter Refueled,25000000.0,7.204875703,7.397940009,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2997,Color,Timothy Bj?rklund,33.0,74.0,0,719.0,Kelsey Grammer,886.0,6491350.0,Animation|Comedy|Family|Fantasy|Musical,Nathan Lane,Teacher's Pet?,1231,5139,Jerry Stiller,0.0,dog|florida|mad scientist|school|teacher,http://www.imdb.com/title/tt0350194/?ref_=fn_tt_tt_1,26.0,English,USA,PG,10000000.0,2004.0,808.0,1.85,49,Teacher's Pet,10000000.0,6.812335026,7.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3487,Color,Eugenio Derbez,41.0,115.0,399,83.0,Jessica Lindsey,399.0,44456509.0,Comedy|Drama,Eugenio Derbez,Instructions Not Included?,22105,688,Hugo Stiglitz,1.0,father daughter relationship,http://www.imdb.com/title/tt2378281/?ref_=fn_tt_tt_1,81.0,Spanish,Mexico,PG-13,5000000.0,2013.0,89.0,1.85,14000,Instructions Not Included,5000000.0,7.6479353560000005,6.6989700039999995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2785,Color,Chris Rock,161.0,102.0,0,555.0,Romany Malco,3000.0,25277561.0,Comedy|Romance,Rosario Dawson,Top Five?,21672,5592,J.B. Smoove,10.0,bare breasts|celebrity|in medias res|reference to planet of the apes|sex talk,http://www.imdb.com/title/tt2784678/?ref_=fn_tt_tt_1,93.0,English,USA,R,12000000.0,2014.0,966.0,2.35,0,Top Five,12000000.0,7.402735167,7.079181246,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
624,Color,Adam McKay,173.0,106.0,285,105.0,Adam Scott,8000.0,100468793.0,Comedy,Will Ferrell,Step Brothers?,212499,11264,Andrea Savage,2.0,dream|friendship|karaoke|love|slacker,http://www.imdb.com/title/tt0838283/?ref_=fn_tt_tt_1,277.0,English,USA,R,65000000.0,2008.0,3000.0,2.35,0,Step Brothers,65000000.0,8.002031185,7.812913357,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2076,Color,Takashi Shimizu,131.0,137.0,70,464.0,Sarah Roemer,4000.0,39143839.0,Horror|Thriller,Sarah Michelle Gellar,The Grudge 2?,38658,5746,Matthew Knight,0.0,curse|ghost|haunted house|high school|schoolgirl,http://www.imdb.com/title/tt0433386/?ref_=fn_tt_tt_1,284.0,English,USA,PG-13,20000000.0,2006.0,884.0,1.85,930,The Grudge 2,20000000.0,7.592663416000001,7.3010299960000005,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
4059,,Jonas ?kerlund,33.0,96.0,68,722.0,Saffron Burrows,2000.0,,Comedy|Crime|Drama,Noel Gugliemi,Small Apartments?,5732,3683,Matt Lucas,6.0,fire investigator|landlord|suicide|talking to one's self in a mirror|turpentine,http://www.imdb.com/title/tt1272886/?ref_=fn_tt_tt_1,26.0,English,USA,R,2000000.0,2012.0,811.0,1.85,0,Small Apartments,2000000.0,0.0,6.3010299960000005,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3963,Color,Jerry Rees,17.0,90.0,115,385.0,Phil Hartman,11000.0,,Adventure|Animation|Comedy|Family|Fantasy|Musical,Jon Lovitz,The Brave Little Toaster?,19650,12359,Mindy Sterling,0.0,journey|obsolescence|radio|toaster|vacuum cleaner,http://www.imdb.com/title/tt0092695/?ref_=fn_tt_tt_1,62.0,English,USA,Not Rated,2300000.0,1987.0,516.0,,0,The Brave Little Toaster,2300000.0,0.0,6.361727836,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
