movie_title,gross,missing,movie_title,Total Gross迨/迨Theaters,Similarity,Validation
"10,000 B.C.题迨            ",,Y,"10,000 B.C.",94784201,0.981,Y
12 Monkeys题迨            ,,Y,12 Monkeys,"$57,141,459 ",0.98,Y
3 Backyards题迨,,Y,3 Backyards,43073,0.982,Y
A Christmas Story题迨,,Y,A Christmas Story,"$19,294,144 ",0.976,Y
A True Story题迨,,Y,True Story,4719695,0.922,Y
Abandoned题迨,,Y,The Abandoned,1331137,0.952,Y
After题迨,,Y,After,24544,0.936,Y
All Hat题迨,,Y,All Hat,15198,0.929,Y
Along the Roadside题迨,,Y,Along the Roadside,1352,0.984,Y
And Then Came Love题迨,,Y,And Then Came Love,13944,0.985,Y
Anger Management题迨            ,,Y,Anger Management,"$135,645,823 ",0.988,Y
Animal Kingdom题迨            ,,Y,Animal Kingdom,1044039,0.98,Y
Animals题迨,,Y,Animals (2015),21821,0.878,Y
Another Happy Day题迨,,Y,Another Happy Day,8464,0.966,Y
Area 51题迨,,Y,Area 51,7556,0.921,Y
Arthur题迨            ,,Y,Arthur,"$95,461,682 ",0.949,Y
August题迨,,Y,August,12636,0.949,Y
Bait题迨,,Y,Bait,"$15,325,127 ",0.918,Y
Bang Bang Baby题迨,,Y,Bang Bang,2546172,0.952,Y
Barfi题迨,,Y,Barfi!,2804874,0.936,Y
Ben-Hur题迨,,Y,Ben-Hur (2016),26410477,0.897,Y
Bewitched题迨            ,,Y,Bewitched,63313159,0.969,Y
Black November题迨,,Y,Black November,5782,0.978,Y
Blow Out题迨,,Y,Blow Out,"$12,000,000 ",0.954,Y
Body Double题迨,,Y,Body Double,"$8,801,940 ",0.974,Y
Bon Cop Bad Cop题迨,,Y,"Bon Cop, Bad Cop",12665721,0.97,Y
Bones题迨            ,,Y,Bones,"$7,316,658 ",0.936,Y
Brighton Rock题迨,,Y,Brighton Rock,229653,0.963,Y
Bubba Ho-Tep题迨,,Y,Bubba Ho-Tep,"$1,239,183 ",0.958,Y
Buffy the Vampire Slayer题迨            ,,Y,Buffy the Vampire Slayer,"$16,624,456 ",0.985,Y
Butterfly Girl题迨,,Y,Butterfly Girl,17503,0.964,Y
Butterfly题迨,,Y,Butterfly,"$2,092,682 ",0.969,Y
C.H.U.D.题迨,,Y,C.H.U.D.,"$4,654,423 ",0.981,Y
Cabin Fever题迨,,Y,Cabin Fever,"$21,158,188 ",0.969,Y
Camping sauvage题迨,,Y,Camping Sauvage,3894585,0.982,Y
Carnage题迨,,Y,Carnage,"$60,158 ",0.958,Y
Casablanca题迨,,Y,Casablanca (Re-issue),"$1,719,913 ",0.877,Y
Cat People题迨,,Y,Cat People,"$7,000,000 ",0.976,Y
Charly题迨,,Y,Charly,"$814,666 ",0.949,Y
Childless题迨,,Y,Childless,1036,0.969,Y
Christmas Eve题迨,,Y,Christmas Eve,91302,0.933,Y
Circle题迨,,Y,Circle,10024,0.949,Y
Commando题迨,,Y,Commando,"$35,100,000 ",0.964,Y
Confessions of a Dangerous Mind题迨,,Y,Confessions of a Dangerous Mind,"$16,007,718 ",0.977,Y
Constantine题迨            ,,Y,Constantine,75976178,0.977,Y
Counting题迨,,Y,Counting,8374,0.964,Y
Creepshow题迨,,Y,Creepshow,"$21,028,755 ",0.969,Y
Crop Circles: Quest for Truth题迨,,Y,Crop Circles: Quest for Truth,"$11,562 ",0.988,Y
Daredevil题迨            ,,Y,Daredevil,"$102,543,518 ",0.969,Y
Dawn of the Crescent Moon题迨,,Y,Dawn of the Crescent Moon,8799,0.98,Y
Day of the Dead题迨,,Y,Day of the Dead,"$5,000,000 ",0.967,Y
Day One题迨,,Y,One Day,13843771,0.941,Y
