,MapNumber,Score,matchedTittle,movieTittle
0,3400.0,94.0,Harry Potter and the Deathly Hallows Part 2,Harry Potter and the Deathly Hallows: Part II 
1,3400.0,95.0,Harry Potter and the Deathly Hallows Part 2,Harry Potter and the Deathly Hallows: Part I 
2,8117.0,95.0,Creepshow,Creepshow 
3,551.0,95.0,Evolution,Evolution 
4,8093.0,96.0,First Blood,First Blood 
5,13355.0,93.0,Solaris,Solaris 
6,8176.0,92.0,Inchon,Inchon 
7,6954.0,98.0,"Yours, Mine and Ours","Yours, Mine and Ours "
8,7874.0,96.0,Flash Gordon,Flash Gordon 
9,12970.0,91.0,Heist,Heist 
10,8255.0,91.0,Krull,Krull 
11,1432.0,97.0,United Passions,United Passions 
12,30.0,96.0,Sausage Party,Sausage Party 
13,13351.0,98.0,Confessions of a Dangerous Mind,Confessions of a Dangerous Mind 
14,92.0,98.0,Florence Foster Jenkins,Florence Foster Jenkins 
15,8429.0,93.0,The Neverending Story,The NeverEnding Story 
16,8617.0,96.0,Return to Oz,Return to Oz 
17,8614.0,95.0,Lifeforce,Lifeforce 
18,8479.0,92.0,Sheena,Sheena 
19,14085.0,93.0,Carnage,Carnage 
20,8092.0,92.0,Gandhi,Gandhi 
21,2491.0,95.0,Underdogs,Underdogs 
22,8591.0,95.0,Ladyhawke,Ladyhawke 
23,9978.0,95.0,Shattered,Shattered 
24,158.0,97.0,Hands of Stone,Hands of Stone 
25,7865.0,96.0,The Shining,The Shining 
26,11916.0,95.0,Firestorm,Firestorm 
27,8027.0,94.0,Blow Out,Blow Out 
28,11042.0,96.0,Restoration,Restoration 
29,4796.0,96.0,The Informers,The Informers 
30,8658.0,97.0,Day of the Dead,Day of the Dead 
31,8648.0,95.0,Red Sonja,Red Sonja 
32,7591.0,95.0,Red Lights,Red Lights 
33,1899.0,92.0,Wolves,Wolves 
34,12253.0,97.0,The Love Letter,The Love Letter 
35,2412.0,97.0,Winnie Mandela,Winnie Mandela 
36,2723.0,92.0,Khumba,Khumba 
37,13223.0,96.0,Pandaemonium,Pandaemonium 
38,8093.0,96.0,First Blood,First Blood 
39,8118.0,97.0,Quest for Fire,Quest for Fire 
40,8159.0,95.0,Cat People,Cat People 
41,8025.0,98.0,The Postman Always Rings Twice,The Postman Always Rings Twice 
42,8051.0,98.0,The Pursuit of D.B. Cooper,The Pursuit of D.B. Cooper 
43,7986.0,95.0,"History of the World, Part I",History of the World: Part I 
44,3690.0,96.0,Brighton Rock,Brighton Rock 
45,7547.0,97.0,The Blue Butterfly,The Blue Butterfly 
46,8568.0,94.0,Commando,Commando 
47,8249.0,96.0,The Dead Zone,The Dead Zone 
48,8593.0,97.0,Invasion U.S.A.,Invasion U.S.A. 
49,7896.0,97.0,The Long Riders,The Long Riders 
50,8459.0,96.0,Body Double,Body Double 
51,8058.0,95.0,Heartbeeps,Heartbeeps 
52,6521.0,92.0,Krrish,Krrish 
53,5373.0,96.0,Elsa & Fred,Elsa & Fred 
54,1266.0,96.0,Strangerland,Strangerland 
55,9785.0,96.0,Loose Cannons,Loose Cannons 
56,12970.0,91.0,Heist,Heist 
57,9965.0,96.0,Shipwrecked,Shipwrecked 
58,7640.0,93.0,Silmido,Silmido 
59,8117.0,95.0,Creepshow,Creepshow 
60,7996.0,97.0,Modern Problems,Modern Problems 
61,353.0,91.0,Kicks,Kicks 
62,6440.0,94.0,"Bon Cop, Bad Cop",Bon Cop Bad Cop 
63,4236.0,99.0,The City of Your Final Destination,The City of Your Final Destination 
64,11312.0,97.0,The Pallbearer,The Pallbearer 
65,8365.0,97.0,The Wicked Lady,The Wicked Lady 
66,12854.0,94.0,Restless,Restless 
67,259.0,95.0,Mr. Church,Mr. Church 
68,1365.0,96.0,Far from Men,Far from Men 
69,1358.0,97.0,Black November,Black November 
70,339.0,94.0,The Wave,The Wave 
71,8352.0,95.0,Losin' It,Losin' It 
72,1220.0,97.0,Hard to Be a God,Hard to Be a God 
73,12847.0,97.0,The Boondock Saints,The Boondock Saints 
74,7976.0,97.0,The Four Seasons,The Four Seasons 
75,8602.0,91.0,Return of the Living Dead,The Return of the Living Dead 
76,4453.0,95.0,Don McKay,Don McKay 
77,8338.0,95.0,Videodrome,Videodrome 
78,12430.0,95.0,Miss Julie,Miss Julie 
79,7914.0,97.0,Somewhere in Time,Somewhere in Time 
80,7876.0,97.0,The Elephant Man,The Elephant Man 
81,8119.0,94.0,The Man From Snowy River,The Man from Snowy River 
