,MapNumber,Score,matchedTittle,movieTittle,,,,,
0,732,67,Star Wars: The Force Awakens,Star Wars: Episode VII - The Force AwakensåÊ            ,,,,,0
1,10251,90,The Lover,The LoversåÊ,,,,,1
2,11789,57,Godzilla,Godzilla ResurgenceåÊ,,,,,0
3,6339,61,Miami Vice,Miami ViceåÊ            ,,,,,0
4,3400,94,Harry Potter and the Deathly Hallows Part 2,Harry Potter and the Deathly Hallows: Part IIåÊ,,,,,1
5,11789,57,Godzilla,Godzilla ResurgenceåÊ,,,,,0
6,3400,95,Harry Potter and the Deathly Hallows Part 2,Harry Potter and the Deathly Hallows: Part IåÊ,,,,,1
7,10639,55,Interview with the Vampire,Asterix at the Olympic GamesåÊ,,,,,0
8,4045,61,The A-Team,The A-TeamåÊ            ,,,,,0
9,5089,63,"10,000 B.C.","10,000 B.C.åÊ            ",,,,,0
10,95,64,Ben-Hur (2016),Ben-HuråÊ,,,,,0
11,12887,55,Hannibal,HannibalåÊ            ,,,,,0
12,5560,57,All Hat,All That JazzåÊ,,,,,0
13,8117,95,Creepshow,CreepshowåÊ,,,,,1
14,13737,58,Daredevil,DaredevilåÊ            ,,,,,0
15,6944,58,Bewitched,BewitchedåÊ            ,,,,,0
16,551,95,Evolution,EvolutionåÊ,,,,,1
17,1139,64,Batkid Begins,Top Cat BeginsåÊ,,,,,0
18,6933,63,Constantine,ConstantineåÊ            ,,,,,0
19,3685,47,Life in a Day,LifeåÊ            ,,,,,0
20,12137,67,Sleepy Hollow,Sleepy HollowåÊ            ,,,,,0
21,11256,72,Last Man Standing,Last Man StandingåÊ            ,,,,,0
22,13260,74,Red Dragon,Red DawnåÊ,,,,,0
23,13806,63,The Missing,The MissingåÊ            ,,,,,0
24,12540,75,Rules of Engagement,Rules of EngagementåÊ            ,,,,,0
25,12320,42,Xiu Xiu: The Sent Down Girl,Xi you ji zhi: Sun Wukong san da Baigu JingåÊ,,,,,0
26,528,45,"Rabin, the Last Day","Sabrina, the Teenage WitchåÊ            ",,,,,0
27,1608,59,The Raid 2,The Ridiculous 6åÊ,,,,,0
28,4034,72,Sex and the City 2,Sex and the CityåÊ            ,,,,,0
29,13722,71,Anger Management,Anger ManagementåÊ            ,,,,,0
30,10645,47,Stargate,Stargate SG-1åÊ            ,,,,,0
31,11987,60,Lolita (1998),LolitaåÊ,,,,,0
32,57,64,Me Before You,Eye See YouåÊ,,,,,0
33,11337,49,Unforgettable,UnforgottenåÊ            ,,,,,0
34,2352,51,A Touch of Sin,A Touch of FroståÊ            ,,,,,0
35,7446,52,Twisted,TwistedåÊ            ,,,,,0
36,5158,55,Defiance,DefianceåÊ            ,,,,,0
37,4827,58,Outlander,OutlanderåÊ            ,,,,,0
38,4058,81,Tooth Fairy,The Tooth FairyåÊ,,,,,1
39,8093,96,First Blood,First BloodåÊ,,,,,1
40,13355,93,Solaris,SolarisåÊ,,,,,1
41,8176,92,Inchon,InchonåÊ,,,,,1
42,6954,98,"Yours, Mine and Ours","Yours, Mine and OursåÊ",,,,,1
43,6461,57,The Return,The ReturnedåÊ            ,,,,,0
44,10092,63,Dogfight,Foodfight!åÊ,,,,,0
45,11624,67,McHale's Navy,McHale's NavyåÊ            ,,,,,0
46,4194,65,Animal Kingdom,Animal Kingdom: Let's go ApeåÊ,,,,,0
47,9236,49,Arthur 2: On the Rocks,ArthuråÊ            ,,,,,0
48,3007,73,A Cat in Paris,A Monster in ParisåÊ,,,,,0
49,13778,48,Tears of the Sun,3rd Rock from the SunåÊ            ,,,,,0
50,10779,57,Squanto: A Warrior's Tale,Dragon Nest: Warriors' DawnåÊ,,,,,0
51,182,56,Our Kind of Traitor,Virgin TerritoryåÊ,,,,,0
52,7800,50,Maestro,Obitaemyy ostrovåÊ,,,,,0
53,5681,61,Rush Hour 3,Rush HouråÊ            ,,,,,0
54,7521,47,The Door in the Floor,Hit the FlooråÊ            ,,,,,0
55,6986,85,Bad News Bears,The Bad News BearsåÊ,,,,,1
56,7874,96,Flash Gordon,Flash GordonåÊ,,,,,1
57,12970,91,Heist,HeiståÊ,,,,,1
58,12616,89,Bait,BaitåÊ,,,,,1
59,8255,91,Krull,KrullåÊ,,,,,1
60,13863,48,Luther,LutheråÊ            ,,,,,0
61,12031,75,Passion in the Desert,Lion of the DesertåÊ,,,,,0
62,10251,90,The Lover,The LoversåÊ,,,,,1
63,12933,75,Bandits,BandidasåÊ,,,,,0
64,5816,61,Black Snake Moan,Black Water TransitåÊ,,,,,0
65,7980,89,Reds,RedsåÊ,,,,,1
66,1110,67,1915,1941åÊ,,,,,0
67,8590,70,Year of the Dragon,George and the DragonåÊ,,,,,0
68,7399,75,Friday Night Lights,Friday Night LightsåÊ            ,,,,,0
69,9375,61,The Family,The FamilyåÊ            ,,,,,0
70,811,58,Entourage,EntourageåÊ            ,,,,,0
71,13388,52,Trapped,TrappedåÊ            ,,,,,0
72,12563,71,Little Nicky,Little NicholasåÊ,,,,,0
73,13857,71,Willard,Wild CardåÊ,,,,,0
74,4194,62,Animal Kingdom,Animals UnitedåÊ,,,,,0
75,8735,72,The Color of Money,The Color of FreedomåÊ,,,,,0
76,1432,97,United Passions,United PassionsåÊ,,,,,1
77,4766,69,Girl from Monaco,Grace of MonacoåÊ,,,,,0
78,4149,71,The Warrior's Way,A Warrior's TailåÊ,,,,,0
79,12913,64,Spy Game,Ripley's GameåÊ,,,,,0
80,30,96,Sausage Party,Sausage PartyåÊ,,,,,1
81,10917,61,12 Monkeys,12 MonkeysåÊ            ,,,,,0
82,13351,98,Confessions of a Dangerous Mind,Confessions of a Dangerous MindåÊ,,,,,1
83,92,98,Florence Foster Jenkins,Florence Foster JenkinsåÊ,,,,,1
84,10519,58,Warlock: The Armageddon,Harlock: Space PirateåÊ,,,,,0
85,3411,61,Captain America: The First Avenger,Captain Alatriste: The Spanish MusketeeråÊ,,,,,0
86,3441,58,Limitless,LimitlessåÊ            ,,,,,0
87,8429,93,The Neverending Story,The NeverEnding StoryåÊ,,,,,1
88,7039,71,The Honeymooners,The HoneymoonersåÊ            ,,,,,0
89,8617,96,Return to Oz,Return to OzåÊ,,,,,1
90,10069,67,The Miracle,The Magic FluteåÊ,,,,,0
91,1695,43,But Always (Yi Sheng Yi Shi),It's Always Sunny in PhiladelphiaåÊ            ,,,,,0
92,6657,55,Unknown White Male,Snow White: A Tale of TerroråÊ,,,,,0
93,7826,69,A Silent Love,Accidental LoveåÊ,,,,,0
94,8031,55,Victory,ViyåÊ,,,,,0
95,1708,70,The Face of Love,The Face of an AngelåÊ,,,,,0
96,5920,75,The Ten,The OmenåÊ,,,,,0
97,833,65,Shaun the Sheep Movie,Shaun the SheepåÊ            ,,,,,0
98,8614,95,Lifeforce,LifeforceåÊ,,,,,1
99,13373,70,The Powerpuff Girls Movie,The Powerpuff GirlsåÊ            ,,,,,0
100,2635,86,A Perfect Man,A Perfect PlanåÊ,,,,,1
101,8479,92,Sheena,SheenaåÊ,,,,,1
102,14085,93,Carnage,CarnageåÊ,,,,,1
103,11896,57,Barney's Great Adventure,A Turtle's Tale: Sammy's AdventuresåÊ,,,,,0
104,12190,61,The Story of Us,The True Story of Puss'N BootsåÊ,,,,,0
105,3265,83,Space Dogs 3D,Space DogsåÊ,,,,,1
106,6761,70,Iron Island,IroncladåÊ,,,,,0
107,6487,71,Water,WaterlooåÊ,,,,,0
108,6948,67,Red Eye,Red SkyåÊ,,,,,0
109,13010,76,The Forsaken,ForsakenåÊ,,,,,0
110,0,43,Rogue One: A Star Wars Story,RogueåÊ            ,,,,,0
111,13102,60,Our Lady of the Assassins,Bodyguards and AssassinsåÊ,,,,,0
112,8092,92,Gandhi,GandhiåÊ,,,,,1
113,7806,67,Son Frere,SorcereråÊ,,,,,0
114,2491,95,Underdogs,UnderdogsåÊ,,,,,1
115,12199,65,The Bachelor,The BacheloråÊ            ,,,,,0
116,1057,78,The Connection,The French ConnectionåÊ,,,,,0
117,1578,59,Meet the Mormons,Meet the BrownsåÊ            ,,,,,0
118,555,83,The Black Dove,The Black HoleåÊ,,,,,1
119,3150,65,Sing Your Song,Paint Your WagonåÊ,,,,,0
120,7459,55,Yu-Gi-Oh! The Movie,Yu-Gi-Oh! Duel MonstersåÊ            ,,,,,0
121,8591,95,Ladyhawke,LadyhawkeåÊ,,,,,1
122,4652,55,Fired Up,Fired UpåÊ            ,,,,,0
123,4146,89,The Secret in Their Eyes,Secret in Their EyesåÊ,,,,,1
124,6205,67,Steel City,Sweet CharityåÊ,,,,,0
125,5232,46,Deception (2008),PerceptionåÊ            ,,,,,0
126,1541,59,Transcendence,PasschendaeleåÊ,,,,,0
127,13628,46,The Pinochet Case,The Doombolt ChaseåÊ            ,,,,,0
128,8094,71,The Toy,The TouchåÊ,,,,,0
129,12941,59,Kiss of the Dragon,Three Kingdoms: Resurrection of the DragonåÊ,,,,,0
130,9978,95,Shattered,ShatteredåÊ,,,,,1
131,1083,57,Samba,ZambeziaåÊ,,,,,0
132,2260,74,Raanjhana,RamanujanåÊ,,,,,0
133,2448,60,Venus and Serena,Dwegons and LeprechaunsåÊ,,,,,0
134,158,97,Hands of Stone,Hands of StoneåÊ,,,,,1
135,2066,73,Lone Survivor,SurvivoråÊ,,,,,0
136,1010,67,The Hunting Ground,The Frozen GroundåÊ,,,,,0
137,7865,96,The Shining,The ShiningåÊ,,,,,1
138,1370,64,Death Valley,Fight ValleyåÊ,,,,,0
139,5773,65,Gone Baby Gone,"Gone, Baby, GoneåÊ            ",,,,,0
140,11916,95,Firestorm,FirestormåÊ,,,,,1
141,8874,68,Decline of the American Empire,The Fall of the Roman EmpireåÊ,,,,,0
142,14115,69,Out of Control,Out of InfernoåÊ,,,,,0
143,1748,41,The One I Wrote For You,The O.C.åÊ            ,,,,,0
144,1197,57,Match,Catch-22åÊ,,,,,0
145,8027,94,Blow Out,Blow OutåÊ,,,,,1
146,11337,67,Unforgettable,UnforgettableåÊ            ,,,,,0
147,11042,96,Restoration,RestorationåÊ,,,,,1
148,4796,96,The Informers,The InformersåÊ,,,,,1
149,7416,63,Home on the Range,I Come with the RainåÊ,,,,,0
150,8658,97,Day of the Dead,Day of the DeadåÊ,,,,,1
151,12936,63,I Am Sam,I Am WrathåÊ,,,,,0
152,13010,76,The Forsaken,ForsakenåÊ,,,,,0
153,8648,95,Red Sonja,Red SonjaåÊ,,,,,1
154,7591,95,Red Lights,Red LightsåÊ,,,,,1
155,1899,92,Wolves,WolvesåÊ,,,,,1
156,559,76,The Fiance,The PrinceåÊ,,,,,0
157,13776,58,28 Days Later,55 Days at PekingåÊ,,,,,0
158,5808,69,Dragon Wars,Dragon HuntersåÊ,,,,,0
159,4998,62,Defamation,Damnation AlleyåÊ,,,,,0
160,5741,68,The Messengers,The MessengersåÊ            ,,,,,0
161,1221,59,The Nightmare,Arn: The Knight TemplaråÊ,,,,,0
162,11542,67,Metro,MeteoråÊ,,,,,0
163,4300,79,Welcome to the Rileys,Welcome to the SticksåÊ,,,,,0
164,10779,58,Squanto: A Warrior's Tale,Hachi: A Dog's TaleåÊ,,,,,0
165,1532,55,Oculus,ZuluåÊ,,,,,0
166,14015,41,Lilya 4Ever,LilyhammeråÊ            ,,,,,0
167,392,43,Seondal: The Man Who Sells the River,Scream: The TV SeriesåÊ            ,,,,,0
168,339,63,The Wave,Tidal WaveåÊ,,,,,0
169,95,64,Ben-Hur (2016),Ben-HuråÊ,,,,,0
170,7894,77,The Hunter,The Deer HunteråÊ,,,,,0
171,8249,67,The Dead Zone,The Dead ZoneåÊ            ,,,,,0
172,12253,97,The Love Letter,The Love LetteråÊ,,,,,1
173,13896,63,The Company,The CompanyåÊ            ,,,,,0
174,1828,71,Lilting,ListeningåÊ,,,,,0
175,10870,71,Silent Tongue,Silent TriggeråÊ,,,,,0
176,2412,97,Winnie Mandela,Winnie MandelaåÊ,,,,,1
177,3077,64,Forgiveness of Blood,Bathory: Countess of BloodåÊ,,,,,0
178,2723,92,Khumba,KhumbaåÊ,,,,,1
179,687,70,Automatic Hate,AutomataåÊ,,,,,0
180,12617,58,Dungeons & Dragons,Dungeons & Dragons: Wrath of the Dragon GodåÊ,,,,,0
181,13622,47,Etoiles: Dancers of the Paris Opera Ballet,Chiamatemi Francesco - Il Papa della genteåÊ,,,,,0
182,2955,54,Thin Ice,Shinjuku IncidentåÊ,,,,,0
183,13223,96,Pandaemonium,PandaemoniumåÊ,,,,,1
184,6442,74,Freedomland,FreedomåÊ,,,,,0
185,869,52,The Green Inferno,Towering InfernoåÊ            ,,,,,0
186,6605,71,Broken Bridges,Broken HorsesåÊ,,,,,0
187,8093,96,First Blood,First BloodåÊ,,,,,1
188,9431,54,Ghostbusters II,Ghost HuntersåÊ            ,,,,,0
189,7423,67,Exorcist: The Beginning,Exorcist II: The HereticåÊ,,,,,0
190,395,82,"New York, New York (2016)","New York, New YorkåÊ",,,,,1
191,4614,67,Ninja Assassin,Reign of AssassinsåÊ,,,,,0
192,7367,83,Van Helsing,Stan HelsingåÊ,,,,,1
