,MapNumber,Score,matchedTittle,movieTittle,,,,,
0,732,100,Star Wars: The Force Awakens,Star Wars: Episode VII - The Force AwakensåÊ            ,,,,,1
1,446,100,The Lovers and the Despot,The LoversåÊ,,,,,1
2,11789,100,Godzilla,Godzilla ResurgenceåÊ,,,,,1
3,6339,100,Miami Vice,Miami ViceåÊ            ,,,,,1
4,3400,98,Harry Potter and the Deathly Hallows Part 2,Harry Potter and the Deathly Hallows: Part IIåÊ,,,,,1
5,11789,100,Godzilla,Godzilla ResurgenceåÊ,,,,,1
6,3400,98,Harry Potter and the Deathly Hallows Part 2,Harry Potter and the Deathly Hallows: Part IåÊ,,,,,1
7,2734,72,The Hunger Games,Asterix at the Olympic GamesåÊ,,,,,0
8,4045,100,The A-Team,The A-TeamåÊ            ,,,,,1
9,5089,100,"10,000 B.C.","10,000 B.C.åÊ            ",,,,,1
10,95,100,Ben-Hur (2016),Ben-HuråÊ,,,,,1
11,5755,100,Hannibal Rising,HannibalåÊ            ,,,,,1
12,1872,76,Goodbye To All That,All That JazzåÊ,,,,,0
13,8117,100,Creepshow,CreepshowåÊ,,,,,1
14,13737,100,Daredevil,DaredevilåÊ            ,,,,,1
15,6944,100,Bewitched,BewitchedåÊ            ,,,,,1
16,551,100,Evolution,EvolutionåÊ,,,,,1
17,1139,67,Batkid Begins,Top Cat BeginsåÊ,,,,,0
18,5374,100,Constantine's Sword,ConstantineåÊ            ,,,,,1
19,3,100,The Secret Life of Pets,LifeåÊ            ,,,,,1
20,12137,100,Sleepy Hollow,Sleepy HollowåÊ            ,,,,,1
21,11256,100,Last Man Standing,Last Man StandingåÊ            ,,,,,1
22,2807,100,Red Dawn (2012),Red DawnåÊ,,,,,1
23,1170,100,The Advocate: A Missing Body,The MissingåÊ            ,,,,,1
24,11725,100,Waco: The Rules of Engagement,Rules of EngagementåÊ            ,,,,,1
25,9361,100,Da,Xi you ji zhi: Sun Wukong san da Baigu JingåÊ,,,,,1
26,97,100,The Witch,"Sabrina, the Teenage WitchåÊ            ",,,,,1
27,854,67,The 33,The Ridiculous 6åÊ,,,,,0
28,4034,100,Sex and the City 2,Sex and the CityåÊ            ,,,,,1
29,4739,100,Management,Anger ManagementåÊ            ,,,,,1
30,10645,100,Stargate,Stargate SG-1åÊ            ,,,,,1
31,11987,100,Lolita (1998),LolitaåÊ,,,,,1
32,13594,100,Eye See You (a.k.a. D-TOX),Eye See YouåÊ,,,,,1
33,10145,76,Unforgiven,UnforgottenåÊ            ,,,,,0
34,11697,100,Touch,A Touch of FroståÊ            ,,,,,1
35,651,100,We Are Twisted F***ing Sister!,TwistedåÊ            ,,,,,1
36,5158,100,Defiance,DefianceåÊ            ,,,,,1
37,4827,100,Outlander,OutlanderåÊ            ,,,,,1
38,3169,100,The Fairy,The Tooth FairyåÊ,,,,,1
39,8093,100,First Blood,First BloodåÊ,,,,,1
40,13355,100,Solaris,SolarisåÊ,,,,,1
41,8176,100,Inchon,InchonåÊ,,,,,1
42,6954,100,"Yours, Mine and Ours","Yours, Mine and OursåÊ",,,,,1
43,6461,91,The Return,The ReturnedåÊ            ,,,,,1
44,10092,71,Dogfight,Foodfight!åÊ,,,,,0
45,11624,100,McHale's Navy,McHale's NavyåÊ            ,,,,,1
46,4194,100,Animal Kingdom,Animal Kingdom: Let's go ApeåÊ,,,,,1
47,2330,100,Arthur Newman,ArthuråÊ            ,,,,,1
48,4735,100,Paris,A Monster in ParisåÊ,,,,,1
49,4874,100,The Sun,3rd Rock from the SunåÊ            ,,,,,1
50,13260,75,Red Dragon,Dragon Nest: Warriors' DawnåÊ,,,,,0
51,7844,100,Virgin,Virgin TerritoryåÊ,,,,,1
52,3305,59,Post Mortem,Obitaemyy ostrovåÊ,,,,,0
53,5681,100,Rush Hour 3,Rush HouråÊ            ,,,,,1
54,8696,100,The Hit,Hit the FlooråÊ            ,,,,,1
55,1546,100,Bears,The Bad News BearsåÊ,,,,,1
56,7874,100,Flash Gordon,Flash GordonåÊ,,,,,1
57,1171,100,Heist (2015),HeiståÊ,,,,,1
58,12616,100,Bait,BaitåÊ,,,,,1
59,8255,100,Krull,KrullåÊ,,,,,1
60,13863,100,Luther,LutheråÊ            ,,,,,1
61,69,100,Lion,Lion of the DesertåÊ,,,,,1
62,446,100,The Lovers and the Despot,The LoversåÊ,,,,,1
63,12933,80,Bandits,BandidasåÊ,,,,,0
64,6487,100,Water,Black Water TransitåÊ,,,,,1
65,7980,100,Reds,RedsåÊ,,,,,1
66,1110,75,1915,1941åÊ,,,,,0
67,8576,80,The Last Dragon,George and the DragonåÊ,,,,,0
68,7399,100,Friday Night Lights,Friday Night LightsåÊ            ,,,,,1
69,318,100,The Family Fang,The FamilyåÊ            ,,,,,1
70,811,100,Entourage,EntourageåÊ            ,,,,,1
