,MapNumber,Score,matchedTittle,movieTittle
0,732.0,67.0,Star Wars: The Force Awakens,Star Wars: Episode VII - The Force Awakens             
1,10251.0,90.0,The Lover,The Lovers 
2,11789.0,57.0,Godzilla,Godzilla Resurgence 
3,6339.0,61.0,Miami Vice,Miami Vice             
4,3400.0,94.0,Harry Potter and the Deathly Hallows Part 2,Harry Potter and the Deathly Hallows: Part II 
5,11789.0,57.0,Godzilla,Godzilla Resurgence 
6,3400.0,95.0,Harry Potter and the Deathly Hallows Part 2,Harry Potter and the Deathly Hallows: Part I 
7,10639.0,55.0,Interview with the Vampire,Asterix at the Olympic Games 
8,4045.0,61.0,The A-Team,The A-Team             
9,5089.0,63.0,"10,000 B.C.","10,000 B.C.             "
10,95.0,64.0,Ben-Hur (2016),Ben-Hur 
11,12887.0,55.0,Hannibal,Hannibal             
12,5560.0,57.0,All Hat,All That Jazz 
13,8117.0,95.0,Creepshow,Creepshow 
14,13737.0,58.0,Daredevil,Daredevil             
15,6944.0,58.0,Bewitched,Bewitched             
16,551.0,95.0,Evolution,Evolution 
17,1139.0,64.0,Batkid Begins,Top Cat Begins 
18,6933.0,63.0,Constantine,Constantine             
19,3685.0,47.0,Life in a Day,Life             
20,12137.0,67.0,Sleepy Hollow,Sleepy Hollow             
21,11256.0,72.0,Last Man Standing,Last Man Standing             
22,13260.0,74.0,Red Dragon,Red Dawn 
23,13806.0,63.0,The Missing,The Missing             
24,12540.0,75.0,Rules of Engagement,Rules of Engagement             
25,12320.0,42.0,Xiu Xiu: The Sent Down Girl,Xi you ji zhi: Sun Wukong san da Baigu Jing 
26,528.0,45.0,"Rabin, the Last Day","Sabrina, the Teenage Witch             "
27,1608.0,59.0,The Raid 2,The Ridiculous 6 
28,4034.0,72.0,Sex and the City 2,Sex and the City             
29,13722.0,71.0,Anger Management,Anger Management             
30,10645.0,47.0,Stargate,Stargate SG-1             
31,11987.0,60.0,Lolita (1998),Lolita 
32,57.0,64.0,Me Before You,Eye See You 
33,11337.0,49.0,Unforgettable,Unforgotten             
34,2352.0,51.0,A Touch of Sin,A Touch of Frost             
35,7446.0,52.0,Twisted,Twisted             
36,5158.0,55.0,Defiance,Defiance             
37,4827.0,58.0,Outlander,Outlander             
38,4058.0,81.0,Tooth Fairy,The Tooth Fairy 
39,8093.0,96.0,First Blood,First Blood 
40,13355.0,93.0,Solaris,Solaris 
41,8176.0,92.0,Inchon,Inchon 
42,6954.0,98.0,"Yours, Mine and Ours","Yours, Mine and Ours "
43,6461.0,57.0,The Return,The Returned             
44,10092.0,63.0,Dogfight,Foodfight! 
45,11624.0,67.0,McHale's Navy,McHale's Navy             
46,4194.0,65.0,Animal Kingdom,Animal Kingdom: Let's go Ape 
47,9236.0,49.0,Arthur 2: On the Rocks,Arthur             
48,3007.0,73.0,A Cat in Paris,A Monster in Paris 
49,13778.0,48.0,Tears of the Sun,3rd Rock from the Sun             
50,10779.0,57.0,Squanto: A Warrior's Tale,Dragon Nest: Warriors' Dawn 
51,182.0,56.0,Our Kind of Traitor,Virgin Territory 
52,7800.0,50.0,Maestro,Obitaemyy ostrov 
53,5681.0,61.0,Rush Hour 3,Rush Hour             
54,7521.0,47.0,The Door in the Floor,Hit the Floor             
55,6986.0,85.0,Bad News Bears,The Bad News Bears 
56,7874.0,96.0,Flash Gordon,Flash Gordon 
57,12970.0,91.0,Heist,Heist 
58,12616.0,89.0,Bait,Bait 
59,8255.0,91.0,Krull,Krull 
60,13863.0,48.0,Luther,Luther             
61,12031.0,75.0,Passion in the Desert,Lion of the Desert 
62,10251.0,90.0,The Lover,The Lovers 
63,12933.0,75.0,Bandits,Bandidas 
64,5816.0,61.0,Black Snake Moan,Black Water Transit 
65,7980.0,89.0,Reds,Reds 
66,1110.0,67.0,1915,1941 
67,8590.0,70.0,Year of the Dragon,George and the Dragon 
68,7399.0,75.0,Friday Night Lights,Friday Night Lights             
69,9375.0,61.0,The Family,The Family             
70,811.0,58.0,Entourage,Entourage             
71,13388.0,52.0,Trapped,Trapped             
72,12563.0,71.0,Little Nicky,Little Nicholas 
73,13857.0,71.0,Willard,Wild Card 
74,4194.0,62.0,Animal Kingdom,Animals United 
75,8735.0,72.0,The Color of Money,The Color of Freedom 
76,1432.0,97.0,United Passions,United Passions 
77,4766.0,69.0,Girl from Monaco,Grace of Monaco 
78,4149.0,71.0,The Warrior's Way,A Warrior's Tail 
79,12913.0,64.0,Spy Game,Ripley's Game 
80,30.0,96.0,Sausage Party,Sausage Party 
81,10917.0,61.0,12 Monkeys,12 Monkeys             
82,13351.0,98.0,Confessions of a Dangerous Mind,Confessions of a Dangerous Mind 
83,92.0,98.0,Florence Foster Jenkins,Florence Foster Jenkins 
84,10519.0,58.0,Warlock: The Armageddon,Harlock: Space Pirate 
85,3411.0,61.0,Captain America: The First Avenger,Captain Alatriste: The Spanish Musketeer 
86,3441.0,58.0,Limitless,Limitless             
87,8429.0,93.0,The Neverending Story,The NeverEnding Story 
88,7039.0,71.0,The Honeymooners,The Honeymooners             
89,8617.0,96.0,Return to Oz,Return to Oz 
90,10069.0,67.0,The Miracle,The Magic Flute 
91,1695.0,43.0,But Always (Yi Sheng Yi Shi),It's Always Sunny in Philadelphia             
92,6657.0,55.0,Unknown White Male,Snow White: A Tale of Terror 
93,7826.0,69.0,A Silent Love,Accidental Love 
94,8031.0,55.0,Victory,Viy 
95,1708.0,70.0,The Face of Love,The Face of an Angel 
96,5920.0,75.0,The Ten,The Omen 
97,833.0,65.0,Shaun the Sheep Movie,Shaun the Sheep             
98,8614.0,95.0,Lifeforce,Lifeforce 
99,13373.0,70.0,The Powerpuff Girls Movie,The Powerpuff Girls             
100,2635.0,86.0,A Perfect Man,A Perfect Plan 
101,8479.0,92.0,Sheena,Sheena 
102,14085.0,93.0,Carnage,Carnage 
103,11896.0,57.0,Barney's Great Adventure,A Turtle's Tale: Sammy's Adventures 
104,12190.0,61.0,The Story of Us,The True Story of Puss'N Boots 
105,3265.0,83.0,Space Dogs 3D,Space Dogs 
106,6761.0,70.0,Iron Island,Ironclad 
107,6487.0,71.0,Water,Waterloo 
108,6948.0,67.0,Red Eye,Red Sky 
109,13010.0,76.0,The Forsaken,Forsaken 
110,0.0,43.0,Rogue One: A Star Wars Story,Rogue             
111,13102.0,60.0,Our Lady of the Assassins,Bodyguards and Assassins 
112,8092.0,92.0,Gandhi,Gandhi 
113,7806.0,67.0,Son Frere,Sorcerer 
114,2491.0,95.0,Underdogs,Underdogs 
115,12199.0,65.0,The Bachelor,The Bachelor             
116,1057.0,78.0,The Connection,The French Connection 
117,1578.0,59.0,Meet the Mormons,Meet the Browns             
118,555.0,83.0,The Black Dove,The Black Hole 
119,3150.0,65.0,Sing Your Song,Paint Your Wagon 
120,7459.0,55.0,Yu-Gi-Oh! The Movie,Yu-Gi-Oh! Duel Monsters             
121,8591.0,95.0,Ladyhawke,Ladyhawke 
122,4652.0,55.0,Fired Up,Fired Up             
123,4146.0,89.0,The Secret in Their Eyes,Secret in Their Eyes 
124,6205.0,67.0,Steel City,Sweet Charity 
125,5232.0,46.0,Deception (2008),Perception             
126,1541.0,59.0,Transcendence,Passchendaele 
127,13628.0,46.0,The Pinochet Case,The Doombolt Chase             
128,8094.0,71.0,The Toy,The Touch 
129,12941.0,59.0,Kiss of the Dragon,Three Kingdoms: Resurrection of the Dragon 
130,9978.0,95.0,Shattered,Shattered 
131,1083.0,57.0,Samba,Zambezia 
132,2260.0,74.0,Raanjhana,Ramanujan 
133,2448.0,60.0,Venus and Serena,Dwegons and Leprechauns 
134,158.0,97.0,Hands of Stone,Hands of Stone 
135,2066.0,73.0,Lone Survivor,Survivor 
136,1010.0,67.0,The Hunting Ground,The Frozen Ground 
137,7865.0,96.0,The Shining,The Shining 
138,1370.0,64.0,Death Valley,Fight Valley 
139,5773.0,65.0,Gone Baby Gone,"Gone, Baby, Gone             "
140,11916.0,95.0,Firestorm,Firestorm 
141,8874.0,68.0,Decline of the American Empire,The Fall of the Roman Empire 
142,14115.0,69.0,Out of Control,Out of Inferno 
143,1748.0,41.0,The One I Wrote For You,The O.C.             
144,1197.0,57.0,Match,Catch-22 
145,8027.0,94.0,Blow Out,Blow Out 
146,11337.0,67.0,Unforgettable,Unforgettable             
147,11042.0,96.0,Restoration,Restoration 
148,4796.0,96.0,The Informers,The Informers 
149,7416.0,63.0,Home on the Range,I Come with the Rain 
150,8658.0,97.0,Day of the Dead,Day of the Dead 
151,12936.0,63.0,I Am Sam,I Am Wrath 
152,13010.0,76.0,The Forsaken,Forsaken 
153,8648.0,95.0,Red Sonja,Red Sonja 
154,7591.0,95.0,Red Lights,Red Lights 
155,1899.0,92.0,Wolves,Wolves 
156,559.0,76.0,The Fiance,The Prince 
157,13776.0,58.0,28 Days Later,55 Days at Peking 
158,5808.0,69.0,Dragon Wars,Dragon Hunters 
159,4998.0,62.0,Defamation,Damnation Alley 
160,5741.0,68.0,The Messengers,The Messengers             
161,1221.0,59.0,The Nightmare,Arn: The Knight Templar 
162,11542.0,67.0,Metro,Meteor 
163,4300.0,79.0,Welcome to the Rileys,Welcome to the Sticks 
164,10779.0,58.0,Squanto: A Warrior's Tale,Hachi: A Dog's Tale 
165,1532.0,55.0,Oculus,Zulu 
166,14015.0,41.0,Lilya 4Ever,Lilyhammer             
167,392.0,43.0,Seondal: The Man Who Sells the River,Scream: The TV Series             
168,339.0,63.0,The Wave,Tidal Wave 
169,95.0,64.0,Ben-Hur (2016),Ben-Hur 
170,7894.0,77.0,The Hunter,The Deer Hunter 
171,8249.0,67.0,The Dead Zone,The Dead Zone             
172,12253.0,97.0,The Love Letter,The Love Letter 
173,13896.0,63.0,The Company,The Company             
174,1828.0,71.0,Lilting,Listening 
175,10870.0,71.0,Silent Tongue,Silent Trigger 
176,2412.0,97.0,Winnie Mandela,Winnie Mandela 
177,3077.0,64.0,Forgiveness of Blood,Bathory: Countess of Blood 
178,2723.0,92.0,Khumba,Khumba 
179,687.0,70.0,Automatic Hate,Automata 
180,12617.0,58.0,Dungeons & Dragons,Dungeons & Dragons: Wrath of the Dragon God 
181,13622.0,47.0,Etoiles: Dancers of the Paris Opera Ballet,Chiamatemi Francesco - Il Papa della gente 
182,2955.0,54.0,Thin Ice,Shinjuku Incident 
183,13223.0,96.0,Pandaemonium,Pandaemonium 
184,6442.0,74.0,Freedomland,Freedom 
185,869.0,52.0,The Green Inferno,Towering Inferno             
186,6605.0,71.0,Broken Bridges,Broken Horses 
187,8093.0,96.0,First Blood,First Blood 
188,9431.0,54.0,Ghostbusters II,Ghost Hunters             
189,7423.0,67.0,Exorcist: The Beginning,Exorcist II: The Heretic 
190,395.0,82.0,"New York, New York (2016)","New York, New York "
191,4614.0,67.0,Ninja Assassin,Reign of Assassins 
192,7367.0,83.0,Van Helsing,Stan Helsing 
193,8166.0,61.0,The Border,The Border             
194,11250.0,39.0,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,Del 1 - Män som hatar kvinnor             
195,8118.0,97.0,Quest for Fire,Quest for Fire 
196,8604.0,55.0,Tomboy,Womb 
197,8159.0,95.0,Cat People,Cat People 
198,2516.0,68.0,The Power of Few,The Prisoner of Zenda 
199,8726.0,71.0,Platoon,Patton 
200,10978.0,76.0,The Prophecy,Prophecy 
201,7944.0,54.0,Guyana: Cult of the Damned,Spartacus: War of the Damned             
202,7183.0,72.0,The Boys of Baraka,The Boys from Brazil 
203,8025.0,98.0,The Postman Always Rings Twice,The Postman Always Rings Twice 
204,8051.0,98.0,The Pursuit of D.B. Cooper,The Pursuit of D.B. Cooper 
205,4706.0,67.0,Cheri,Cypher 
206,10646.0,59.0,Legends of the Fall,Legend of Kung Fu Rabbit 
207,2778.0,59.0,Battleship,Space Battleship Yamato 
208,4011.0,75.0,Tangled,Triangle 
209,12538.0,59.0,Bring It On,Dancin' It's On 
210,4226.0,72.0,The Art of the Steal,The Cry of the Owl 
211,7732.0,73.0,A Tale of Two Sisters,A Tale of Three Cities 
212,9177.0,84.0,Die Hard,Drive Hard 
213,1510.0,56.0,St. Vincent,St. Trinian's 
214,7986.0,95.0,"History of the World, Part I",History of the World: Part I 
215,2127.0,59.0,R.I.P.D.,F.I.S.T. 
216,8488.0,69.0,Harry and Son,Barry Lyndon 
217,240.0,67.0,The Hollars,The Molly Maguires 
218,3690.0,96.0,Brighton Rock,Brighton Rock 
219,3646.0,67.0,Machine Gun Preacher,Machine Gun McCain 
220,5063.0,40.0,WALL-E,LOL 
221,7547.0,97.0,The Blue Butterfly,The Blue Butterfly 
222,8285.0,55.0,Lovesick,Lovesick             
223,9497.0,55.0,Family Business,La Famille Bélier 
224,2239.0,67.0,Disconnect,Misconduct 
225,6916.0,81.0,The Longest Yard,The Longest Day 
226,8568.0,94.0,Commando,Commando 
227,39.0,76.0,Pete's Dragon (2016),Pete's Dragon 
228,8249.0,96.0,The Dead Zone,The Dead Zone 
229,8593.0,97.0,Invasion U.S.A.,Invasion U.S.A. 
230,7896.0,97.0,The Long Riders,The Long Riders 
231,8459.0,96.0,Body Double,Body Double 
232,13009.0,43.0,Bones,Bones             
233,8058.0,95.0,Heartbeeps,Heartbeeps 
234,6521.0,92.0,Krrish,Krrish 
235,5373.0,96.0,Elsa & Fred,Elsa & Fred 
236,1266.0,96.0,Strangerland,Strangerland 
237,5014.0,86.0,Janky Promoters,The Janky Promoters 
238,10729.0,88.0,The Ref,The Reef 
239,6950.0,61.0,White Noise,White Noise 2: The Light 
240,7424.0,62.0,You Got Served,You Got Served: Beat the World 
241,10928.0,77.0,Dead Man Walking,Fifty Dead Men Walking 
242,11508.0,67.0,Jungle 2 Jungle,Jungle Shuffle 
243,2591.0,71.0,A Resurrection,Adam Resurrected 
244,4478.0,57.0,Wonderful World,It's a Wonderful Afterlife 
245,3596.0,80.0,The Devil's Double,The Devil's Tomb 
246,1143.0,67.0,Predestination,Partition 
247,12168.0,69.0,Cruel Intentions,Good Intentions 
248,12592.0,60.0,Nurse Betty,Nurse 3D 
249,7263.0,67.0,Genesis,Gunless 
250,10585.0,83.0,American Heart,American Heist 
251,10100.0,67.0,Pastime,Plastic 
252,4433.0,62.0,Red Hill,Re-Kill 
253,5630.0,65.0,Heavy Metal in Baghdad,Heavy Metal 
254,5779.0,63.0,Into the Wild,Into the Grizzly Maze 
255,6674.0,71.0,Red Doors,Red Dog 
256,6296.0,64.0,Intervention,Detention 
257,9785.0,96.0,Loose Cannons,Loose Cannons 
258,284.0,63.0,The Boy and the Beast,The Bold and the Beautiful             
259,1700.0,81.0,The Pirates,The Ice Pirates 
260,10914.0,62.0,Babe,Barbecue 
261,12970.0,91.0,Heist,Heist 
262,1794.0,51.0,Expedition to the End of the World,Red Riding: In the Year of Our Lord 1974 
263,9214.0,55.0,License to Drive,Veronika Decides to Die 
264,7387.0,48.0,Garfield: The Movie,"Ultramarines: A Warhammer 40,000 Movie "
265,12185.0,83.0,The Insider,The I Inside 
266,2368.0,62.0,Beyond the Hills,Beneath Hill 60 
267,5139.0,79.0,Star Wars: The Clone Wars,Star Wars: The Clone Wars             
268,2946.0,78.0,Barbara,Barbarella 
269,9965.0,96.0,Shipwrecked,Shipwrecked 
270,4594.0,71.0,The Haunting in Connecticut,The Haunting in Connecticut 2: Ghosts of Georgia 
271,7640.0,93.0,Silmido,Silmido 
272,9925.0,56.0,Soapdish,Quo Vadis 
273,527.0,63.0,Valley of Love,Valley of the Wolves: Iraq 
274,8117.0,95.0,Creepshow,Creepshow 
275,7996.0,97.0,Modern Problems,Modern Problems 
276,353.0,91.0,Kicks,Kicks 
277,10191.0,61.0,The Player,The Player             
278,6440.0,94.0,"Bon Cop, Bad Cop",Bon Cop Bad Cop 
279,4236.0,99.0,The City of Your Final Destination,The City of Your Final Destination 
280,11312.0,97.0,The Pallbearer,The Pallbearer 
281,4234.0,51.0,Preacher's Kid,Preacher             
282,8365.0,97.0,The Wicked Lady,The Wicked Lady 
283,12854.0,94.0,Restless,Restless 
284,3097.0,67.0,Wuthering Heights (2012),Wuthering Heights             
285,5135.0,60.0,The Secret Life of Bees,The Death and Life of Bobby Z 
286,8390.0,61.0,Greystoke: The Legend of Tarzan,The Rocket: The Legend of Rocket Richard 
287,5393.0,80.0,Shelter,Swelter 
288,259.0,95.0,Mr. Church,Mr. Church 
289,5167.0,64.0,Never Back Down,Green Street 3: Never Back Down 
290,5119.0,81.0,Made of Honor,Code of Honor 
