,MapNumber,Score,matchedTittle,movieTittle
0,10251.0,95.0,The Lover,The Lovers 
1,6339.0,100.0,Miami Vice,Miami Vice             
2,3400.0,94.0,Harry Potter and the Deathly Hallows Part 2,Harry Potter and the Deathly Hallows: Part II 
3,3400.0,95.0,Harry Potter and the Deathly Hallows Part 2,Harry Potter and the Deathly Hallows: Part I 
4,4045.0,100.0,The A-Team,The A-Team             
5,5089.0,100.0,"10,000 B.C.","10,000 B.C.             "
6,12887.0,100.0,Hannibal,Hannibal             
7,8117.0,100.0,Creepshow,Creepshow 
8,13737.0,100.0,Daredevil,Daredevil             
9,6944.0,100.0,Bewitched,Bewitched             
10,551.0,100.0,Evolution,Evolution 
11,6933.0,100.0,Constantine,Constantine             
12,12153.0,100.0,Life,Life             
13,12137.0,100.0,Sleepy Hollow,Sleepy Hollow             
14,11256.0,100.0,Last Man Standing,Last Man Standing             
15,13806.0,100.0,The Missing,The Missing             
16,12540.0,100.0,Rules of Engagement,Rules of Engagement             
17,5069.0,100.0,Sex and the City,Sex and the City             
18,13722.0,100.0,Anger Management,Anger Management             
19,7446.0,100.0,Twisted,Twisted             
20,5158.0,100.0,Defiance,Defiance             
21,4827.0,100.0,Outlander,Outlander             
22,8093.0,100.0,First Blood,First Blood 
23,13355.0,100.0,Solaris,Solaris 
24,8176.0,100.0,Inchon,Inchon 
25,6954.0,100.0,"Yours, Mine and Ours","Yours, Mine and Ours "
26,6461.0,91.0,The Return,The Returned             
27,11624.0,100.0,McHale's Navy,McHale's Navy             
28,7971.0,100.0,Arthur,Arthur             
29,11787.0,100.0,Rush Hour,Rush Hour             
30,7874.0,100.0,Flash Gordon,Flash Gordon 
31,12970.0,100.0,Heist,Heist 
32,12616.0,100.0,Bait,Bait 
33,8255.0,100.0,Krull,Krull 
34,13863.0,100.0,Luther,Luther             
35,10251.0,95.0,The Lover,The Lovers 
36,7980.0,100.0,Reds,Reds 
37,7399.0,100.0,Friday Night Lights,Friday Night Lights             
38,9375.0,100.0,The Family,The Family             
39,811.0,100.0,Entourage,Entourage             
40,13388.0,100.0,Trapped,Trapped             
41,1432.0,100.0,United Passions,United Passions 
42,30.0,100.0,Sausage Party,Sausage Party 
43,10917.0,100.0,12 Monkeys,12 Monkeys             
44,13351.0,100.0,Confessions of a Dangerous Mind,Confessions of a Dangerous Mind 
45,92.0,100.0,Florence Foster Jenkins,Florence Foster Jenkins 
46,3441.0,100.0,Limitless,Limitless             
47,8429.0,100.0,The Neverending Story,The NeverEnding Story 
48,7039.0,100.0,The Honeymooners,The Honeymooners             
49,8617.0,100.0,Return to Oz,Return to Oz 
50,8614.0,100.0,Lifeforce,Lifeforce 
51,8479.0,100.0,Sheena,Sheena 
52,14085.0,100.0,Carnage,Carnage 
53,5589.0,100.0,Rogue,Rogue             
54,8092.0,100.0,Gandhi,Gandhi 
55,2491.0,100.0,Underdogs,Underdogs 
56,12199.0,100.0,The Bachelor,The Bachelor             
57,8591.0,100.0,Ladyhawke,Ladyhawke 
58,4652.0,100.0,Fired Up,Fired Up             
59,4146.0,91.0,The Secret in Their Eyes,Secret in Their Eyes 
60,9978.0,100.0,Shattered,Shattered 
61,158.0,100.0,Hands of Stone,Hands of Stone 
62,7865.0,100.0,The Shining,The Shining 
63,5773.0,100.0,Gone Baby Gone,"Gone, Baby, Gone             "
64,11916.0,100.0,Firestorm,Firestorm 
65,8027.0,100.0,Blow Out,Blow Out 
66,11337.0,100.0,Unforgettable,Unforgettable             
67,11042.0,100.0,Restoration,Restoration 
68,4796.0,100.0,The Informers,The Informers 
69,8658.0,100.0,Day of the Dead,Day of the Dead 
70,8648.0,100.0,Red Sonja,Red Sonja 
71,7591.0,100.0,Red Lights,Red Lights 
72,1899.0,100.0,Wolves,Wolves 
73,5741.0,100.0,The Messengers,The Messengers             
74,8249.0,100.0,The Dead Zone,The Dead Zone             
75,12253.0,100.0,The Love Letter,The Love Letter 
76,13896.0,100.0,The Company,The Company             
77,2412.0,100.0,Winnie Mandela,Winnie Mandela 
78,2723.0,100.0,Khumba,Khumba 
79,13223.0,100.0,Pandaemonium,Pandaemonium 
80,8093.0,100.0,First Blood,First Blood 
81,8166.0,100.0,The Border,The Border             
82,8118.0,100.0,Quest for Fire,Quest for Fire 
83,8159.0,100.0,Cat People,Cat People 
