,MapNumber,Score,matchedTittle,movieTittle,
532,4418,75,[Rec] 2,[Rec]ξ,0
616,3530,62,Warrior,#Horrorξ,0
9,5089,100,"10,000 B.C.","10,000 B.C.ξ            ",1
324,14041,73,1+1=11,11:14ξ,0
767,13631,64,Gangster No. 1,12 Angry Menξ,0
81,10917,100,12 Monkeys,12 Monkeysξ            ,1
667,10795,71,To Live,16 to Lifeξ,0
416,11619,57,187,1776ξ,0
66,1110,75,1915,1941ξ,0
700,8462,75,1984,1982ξ,0
444,4838,67,12,2:13ξ,0
341,1730,67,"20,000 Days on Earth","20,000 Leagues Under the Seaξ",0
801,1730,67,"20,000 Days on Earth","20,000 Leagues Under the Seaξ",0
550,521,58,The Seventh Fire,24 7: Twenty Four Sevenξ,0
770,3822,100,3 Backyards,3 Backyardsξ,1
485,3427,54,The Girl with the Dragon Tattoo (2011),30 Nights of Paranormal Activity with the Devil Inside the Girl with the Dragon Tattooξ,0
49,9698,64,Postcards from the Edge,3rd Rock from the Sunξ            ,0
157,9881,65,Speaking Parts,55 Days at Pekingξ,0
525,12568,92,28 Days,8 Daysξ,1
587,1773,60,A Birder's Guide to Everything,A Beginner's Guide to Snuffξ,0
822,3468,68,Arthur Christmas,A Charlie Brown Christmasξ,0
453,8251,100,A Christmas Story,A Christmas Storyξ,1
829,7130,69,Breakfast on Pluto,A Dog's Breakfastξ,0
830,7130,69,Breakfast on Pluto,A Dog's Breakfastξ,0
349,6812,60,Christmas at Maxwell's,A Farewell to Armsξ,0
691,376,73,Fire at Sea,A Fine Stepξ,0
570,380,59,Best Worst Thing That Ever Could Have Happened,A Funny Thing Happened on the Way to the Forumξ,0
507,13073,65,All Over the Guy,A Guy Named Joeξ,0
413,570,74,This Last Lonely Place,A Lonely Place to Dieξ,0
425,13194,68,A Song for Martin,A Man for All Seasonsξ,0
48,2825,73,"Monsters, Inc. (3D)",A Monster in Parisξ,0
100,10423,76,A Perfect World,A Perfect Planξ,0
883,178,61,Maggie's Plan,A Plague So Pleasantξ,0
327,5263,69,Son of Rambow,A Shine of Rainbowsξ,0
579,407,65,A Street Cat Named Bob,A Streetcar Named Desireξ,0
211,3293,70,Tales of the Night,A Tale of Three Citiesξ,0
34,4600,69,Land of the Lost,A Touch of Frostξ            ,0
860,881,91,True Story,A True Storyξ,1
103,12404,61,The Adventures of Sebastian Cole,A Turtle's Tale: Sammy's Adventuresξ,0
78,10779,75,Squanto: A Warrior's Tale,A Warrior's Tailξ,0
578,13376,88,Abandon,Abandonedξ,0
849,604,71,Argentina,Absentiaξ,0
93,1309,71,Little Accidents,Accidental Loveξ,0
243,2591,73,A Resurrection,Adam Resurrectedξ,0
717,1114,72,Adult Beginners,Adulterersξ,0
720,3874,100,After,Afterξ,1
590,5779,83,Into the Wild,Against the Wildξ,0
393,1166,67,Aloft,Airliftξ,0
545,8294,70,Fanny and Alexander,Alexander's Ragtime Bandξ,0
519,10194,77,Raising Cain,Alien Uprisingξ,0
299,2418,73,No One Lives,Alien Zoneξ,0
382,5560,100,All Hat,All Hatξ,1
